user_id,group,revenue,clicked,converted,retained_7d,complained,segment,device,country
srm_failure_control_01197,control,8.35,0,0,1,0,high_value,android,US
srm_failure_control_00758,control,8.84,0,0,1,0,returning_user,android,DE
srm_failure_treatment_00534,treatment,10.91,0,0,1,0,returning_user,ios,DE
srm_failure_treatment_02750,treatment,11.91,0,0,1,0,new_user,web,US
srm_failure_control_00517,control,12.07,1,0,0,0,returning_user,web,CA
srm_failure_treatment_00885,treatment,10.25,0,0,0,0,returning_user,ios,GB
srm_failure_treatment_00438,treatment,9.79,0,0,0,0,returning_user,ios,CA
srm_failure_control_00086,control,8.56,1,0,0,0,new_user,android,US
srm_failure_treatment_00846,treatment,10.4,0,1,1,0,returning_user,web,US
srm_failure_treatment_01716,treatment,12.22,1,0,0,0,returning_user,web,US
srm_failure_control_00327,control,11.05,0,0,1,0,returning_user,ios,GB
srm_failure_treatment_02658,treatment,11.13,0,0,1,0,high_value,ios,GB
srm_failure_treatment_01541,treatment,11.69,0,0,1,0,returning_user,android,CA
srm_failure_treatment_00346,treatment,8.97,1,1,1,0,returning_user,ios,GB
srm_failure_control_00757,control,10.67,1,0,0,0,new_user,ios,CA
srm_failure_treatment_02354,treatment,12.45,0,0,0,0,high_value,android,GB
srm_failure_treatment_00420,treatment,11.79,0,0,1,0,new_user,android,GB
srm_failure_treatment_01711,treatment,11.28,1,0,1,0,new_user,web,CA
srm_failure_treatment_02120,treatment,10.11,0,0,0,0,new_user,ios,CA
srm_failure_treatment_00279,treatment,9.84,0,0,0,0,returning_user,ios,US
srm_failure_control_00849,control,10.56,0,0,1,0,high_value,web,DE
srm_failure_treatment_01800,treatment,9.11,0,0,0,0,returning_user,android,US
srm_failure_treatment_02121,treatment,8.86,0,0,0,0,returning_user,android,GB
srm_failure_treatment_01294,treatment,9.57,1,0,1,0,high_value,android,DE
srm_failure_treatment_00732,treatment,11.96,0,0,0,0,high_value,android,CA
srm_failure_treatment_01383,treatment,9.98,0,0,0,0,new_user,android,US
srm_failure_treatment_01882,treatment,12.09,0,0,1,0,returning_user,android,DE
srm_failure_treatment_02487,treatment,8.84,1,0,0,0,new_user,ios,DE
srm_failure_treatment_01144,treatment,12.32,0,0,0,0,high_value,web,US
srm_failure_control_00266,control,10.1,0,0,0,0,new_user,web,US
srm_failure_control_01160,control,8.19,1,0,0,0,high_value,android,US
srm_failure_control_00575,control,9.67,0,0,0,0,returning_user,android,US
srm_failure_treatment_02383,treatment,10.93,1,0,1,0,returning_user,ios,US
srm_failure_treatment_00587,treatment,10.66,0,0,0,0,new_user,android,GB
srm_failure_treatment_02517,treatment,11.49,0,1,0,0,returning_user,ios,CA
srm_failure_treatment_00191,treatment,11.06,0,0,0,0,high_value,web,CA
srm_failure_treatment_01652,treatment,11.15,0,0,0,0,returning_user,web,DE
srm_failure_treatment_00589,treatment,11.0,1,0,1,0,new_user,web,US
srm_failure_control_00805,control,10.77,1,1,0,0,high_value,android,US
srm_failure_treatment_01724,treatment,8.88,0,0,1,0,high_value,ios,CA
srm_failure_treatment_02663,treatment,11.36,1,0,0,0,returning_user,ios,CA
srm_failure_control_01180,control,10.28,0,0,1,0,returning_user,web,GB
srm_failure_treatment_01642,treatment,11.12,1,1,1,0,high_value,android,CA
srm_failure_control_00889,control,10.19,0,0,1,0,returning_user,ios,US
srm_failure_treatment_00458,treatment,11.29,0,0,1,0,high_value,web,US
srm_failure_treatment_01451,treatment,11.3,1,0,1,0,returning_user,web,GB
srm_failure_treatment_02654,treatment,8.63,0,0,1,0,returning_user,web,CA
srm_failure_treatment_02172,treatment,12.3,1,0,0,0,high_value,web,DE
srm_failure_control_00004,control,7.7,1,0,1,0,high_value,android,CA
srm_failure_treatment_02270,treatment,11.28,0,0,0,0,returning_user,android,US
srm_failure_treatment_01881,treatment,10.27,1,1,1,0,high_value,web,GB
srm_failure_control_00560,control,9.58,1,0,1,0,new_user,android,GB
srm_failure_treatment_01079,treatment,11.52,0,0,1,0,new_user,web,DE
srm_failure_control_00130,control,8.03,1,0,0,0,returning_user,android,CA
srm_failure_treatment_01153,treatment,9.17,0,0,1,0,returning_user,android,CA
srm_failure_treatment_02779,treatment,10.15,0,0,1,0,new_user,android,CA
srm_failure_treatment_01961,treatment,12.39,0,0,0,0,returning_user,web,DE
srm_failure_control_00509,control,9.74,0,0,1,0,new_user,android,GB
srm_failure_control_00846,control,9.28,1,0,1,0,new_user,android,DE
srm_failure_control_01065,control,11.84,0,0,1,0,returning_user,ios,DE
srm_failure_control_00506,control,9.09,0,1,0,0,new_user,ios,DE
srm_failure_treatment_00673,treatment,9.62,0,1,0,0,high_value,web,CA
srm_failure_treatment_02746,treatment,10.89,0,0,1,0,high_value,android,US
srm_failure_treatment_01314,treatment,10.25,0,0,1,0,new_user,android,US
srm_failure_control_00999,control,11.08,1,1,1,0,returning_user,ios,CA
srm_failure_treatment_01398,treatment,10.74,0,0,0,0,returning_user,ios,US
srm_failure_control_00556,control,9.82,0,1,0,0,returning_user,web,CA
srm_failure_control_01016,control,9.31,0,0,1,0,new_user,ios,US
srm_failure_control_00057,control,9.93,0,0,0,0,returning_user,android,DE
srm_failure_treatment_01401,treatment,10.03,1,0,0,0,new_user,android,US
